Master,Slave,Average Coherence
2022-01-04,2022-03-05,0.22669218480587006
2022-05-08,2022-05-20,0.2547336220741272
2021-02-02,2021-02-14,0.239739328622818
2022-04-18,2022-06-01,0.2359979897737503
2022-02-21,2022-04-18,0.23293143510818481
2021-03-22,2021-11-09,0.22975315153598785
2021-12-03,2022-01-16,0.23112285137176514
2021-01-17,2021-02-02,0.24734458327293396
2021-03-14,2021-03-26,0.3104712665081024
2022-03-17,2022-04-26,0.24559281766414642
2021-02-02,2021-02-10,0.24881236255168915
2021-12-03,2022-02-09,0.2298993319272995
2021-03-14,2021-03-22,0.2441689670085907
2021-01-17,2021-02-06,0.2544633448123932
2021-11-09,2021-12-15,0.22688262164592743
2021-10-16,2021-12-15,0.22579984366893768
2021-02-14,2021-02-18,0.35959362983703613
2021-03-10,2021-03-14,0.3332090973854065
2021-10-04,2021-11-09,0.23211416602134705
2021-02-06,2021-02-26,0.2375612109899521
2022-01-04,2022-02-21,0.22717903554439545
2021-01-05,2021-01-09,0.26061761379241943
2022-04-02,2022-05-20,0.24352574348449707
2021-03-18,2021-10-28,0.23102091252803802
2021-03-06,2021-03-18,0.24296103417873383
2022-03-05,2022-04-18,0.23712390661239624
2021-02-06,2021-02-22,0.25322648882865906
2021-02-14,2021-03-06,0.23187650740146637
2021-03-06,2021-03-26,0.2380133420228958
2021-11-21,2021-12-03,0.2635301649570465
2022-03-05,2022-04-26,0.25050100684165955
2021-01-21,2021-01-29,0.27396002411842346
2021-02-26,2021-03-10,0.25289103388786316
2021-03-22,2021-10-04,0.23276670277118683
2022-01-16,2022-03-05,0.2319476157426834
2021-01-29,2021-02-18,0.2436327338218689
2021-02-10,2021-02-14,0.3614928722381592
2021-03-18,2021-10-16,0.2307674139738083
2021-02-26,2021-03-14,0.23699113726615906
2021-02-06,2021-02-18,0.24742227792739868
2021-03-06,2021-03-22,0.2560596466064453
2021-02-14,2021-03-02,0.23686988651752472
2022-04-02,2022-06-01,0.23513978719711304
2021-02-14,2021-02-26,0.23673835396766663
2021-03-02,2021-03-14,0.24859663844108582
2022-05-08,2022-06-01,0.2375583052635193
2022-04-18,2022-05-20,0.24006561934947968
2021-10-16,2021-11-09,0.23914390802383423
2021-12-03,2022-01-28,0.23182305693626404
2021-02-14,2021-02-22,0.24178273975849152
2021-10-28,2022-01-04,0.22544442117214203
2021-03-14,2021-03-18,0.3679196238517761
2022-03-17,2022-04-18,0.2409176528453827
2022-02-21,2022-04-26,0.23658119142055511
2022-01-16,2022-02-21,0.22842782735824585
2021-03-02,2021-03-10,0.2729303240776062
2021-11-21,2022-01-28,0.22979223728179932
2021-02-22,2021-03-02,0.2562645971775055
2021-12-15,2022-01-04,0.22854213416576385
2022-02-21,2022-04-02,0.23586814105510712
2022-01-28,2022-04-02,0.2318129688501358
2021-02-18,2021-03-10,0.26149454712867737
2022-01-28,2022-03-05,0.2596760392189026
2022-02-21,2022-03-05,0.2591831386089325
2021-01-09,2021-01-21,0.24200329184532166
2021-03-26,2021-10-16,0.23076088726520538
2021-01-17,2021-01-29,0.24338002502918243
2021-02-22,2021-03-06,0.25898730754852295
2021-03-14,2021-10-04,0.2322445511817932
2021-01-05,2021-01-17,0.25436362624168396
2021-10-28,2021-11-09,0.2503194212913513
2022-04-26,2022-05-20,0.27117758989334106
2021-03-26,2021-11-21,0.23137100040912628
2021-02-22,2021-02-26,0.26652991771698
2021-01-05,2021-01-13,0.2439553439617157
2021-11-09,2022-01-04,0.22561520338058472
2022-03-05,2022-04-02,0.24142012000083923
2022-01-28,2022-02-21,0.24294456839561462
2022-04-26,2022-06-01,0.24346566200256348
2022-02-09,2022-03-17,0.2396729439496994
2022-03-17,2022-05-08,0.24200128018856049
2021-01-21,2021-02-06,0.24171441793441772
2021-01-29,2021-02-02,0.24243663251399994
2021-01-13,2021-01-21,0.2410014271736145
2021-01-29,2021-02-06,0.23800010979175568
2021-03-22,2021-03-26,0.29978251457214355
2021-01-21,2021-02-02,0.239138662815094
2021-10-28,2021-12-15,0.22583845257759094
2021-01-05,2021-01-29,0.2299087941646576
2022-03-17,2022-04-02,0.26169881224632263
2021-03-26,2021-10-28,0.23026591539382935
2021-11-21,2022-01-16,0.2294415384531021
2021-12-15,2022-02-21,0.2269575297832489
2021-01-29,2021-02-10,0.24310055375099182
2021-01-21,2021-02-14,0.23589123785495758
2022-02-09,2022-04-02,0.24180789291858673
2021-03-10,2021-03-26,0.3084520995616913
2021-10-28,2021-12-03,0.23510193824768066
2021-01-13,2021-02-02,0.2339523732662201
2021-03-18,2021-03-22,0.25930196046829224
2022-04-26,2022-05-08,0.2721756100654602
2021-02-06,2021-02-14,0.2578996419906616
2021-10-28,2021-11-21,0.2338634729385376
2022-02-09,2022-03-05,0.23459894955158234
2021-02-26,2021-03-18,0.23531566560268402
2021-03-26,2021-11-09,0.2285284399986267
2022-04-18,2022-04-26,0.256782591342926
2021-01-13,2021-02-06,0.23986998200416565
2021-03-18,2021-03-26,0.33836957812309265
2021-03-10,2021-03-22,0.24593336880207062
2021-02-10,2021-02-18,0.28235238790512085
2021-01-21,2021-02-10,0.23610983788967133
2021-01-29,2021-02-14,0.23345601558685303
2021-02-06,2021-02-10,0.3059339225292206
2022-01-28,2022-02-09,0.23994237184524536
2022-04-02,2022-04-18,0.25073423981666565
2021-03-02,2021-03-18,0.25531208515167236
2021-11-21,2022-01-04,0.22683346271514893
2021-12-15,2022-01-28,0.22691591084003448
2021-02-02,2021-02-22,0.24408546090126038
2022-02-09,2022-02-21,0.24848003685474396
2022-02-21,2022-03-17,0.2351113110780716
2022-01-28,2022-03-17,0.23117083311080933
2021-03-26,2021-10-04,0.2359606772661209
2021-02-18,2021-03-02,0.25319933891296387
2021-02-22,2021-03-10,0.2397189885377884
2021-12-15,2022-01-16,0.2276383936405182
2021-03-14,2021-10-16,0.22947418689727783
2022-04-02,2022-04-26,0.26018983125686646
2021-02-02,2021-02-18,0.23569399118423462
2021-02-22,2021-03-14,0.2340829223394394
2021-03-02,2021-03-22,0.24544639885425568
2021-02-10,2021-03-02,0.23348957300186157
2021-01-09,2021-02-02,0.23803213238716125
2021-02-18,2021-03-06,0.23482248187065125
2021-12-15,2022-02-09,0.22684398293495178
2021-03-06,2021-03-14,0.25347378849983215
2021-12-03,2021-12-15,0.22958919405937195
2022-03-17,2022-05-20,0.2371988445520401
2021-02-10,2021-02-26,0.23423101007938385
2021-02-18,2021-02-22,0.24878817796707153
2021-03-06,2021-03-10,0.27635711431503296
2022-03-05,2022-03-17,0.25137919187545776
2021-02-18,2021-02-26,0.24234549701213837
2021-02-10,2021-02-22,0.23377959430217743
2021-11-09,2022-01-16,0.2265567183494568
2021-03-10,2021-03-18,0.28736117482185364
2022-01-16,2022-03-17,0.23257456719875336
2022-01-04,2022-01-16,0.22785831987857819
2021-03-18,2021-10-04,0.23260904848575592
2021-10-04,2021-11-21,0.24675844609737396
2022-02-09,2022-04-18,0.23324835300445557
2021-03-22,2021-10-16,0.2317267507314682
2021-10-04,2021-12-03,0.24998441338539124
2021-02-26,2021-03-02,0.306366890668869
2021-10-16,2021-10-28,0.2810531556606293
2022-04-02,2022-05-08,0.26071861386299133
2022-01-04,2022-02-09,0.22707191109657288
2021-01-05,2021-01-21,0.23722653090953827
2021-03-10,2021-10-04,0.2337612807750702
2021-01-13,2021-01-29,0.2330819070339203
2021-11-21,2021-12-15,0.22869540750980377
2021-02-26,2021-03-06,0.24143444001674652
2021-10-04,2021-10-16,0.26754677295684814
2021-03-02,2021-03-06,0.25365307927131653
2021-01-09,2021-01-13,0.24206934869289398
2022-01-16,2022-01-28,0.23566080629825592
2021-01-09,2021-01-17,0.24899432063102722
2021-01-17,2021-02-10,0.23007240891456604
2021-01-09,2021-01-29,0.23367515206336975
2021-12-03,2022-01-04,0.2275484949350357
2021-11-09,2021-12-03,0.2314203381538391
2021-10-16,2021-12-03,0.23495303094387054
2021-11-09,2021-11-21,0.2327209711074829
2021-10-16,2021-11-21,0.23295235633850098
2022-04-18,2022-05-08,0.24828004837036133
2021-02-02,2021-02-06,0.2883426249027252
2021-10-04,2021-10-28,0.24434703588485718
2022-01-16,2022-02-09,0.2397288829088211
2021-01-17,2021-01-21,0.28389081358909607
2021-01-13,2021-01-17,0.2612951397895813
2022-05-20,2022-06-01,0.28348612785339355
2022-01-04,2022-01-28,0.22757698595523834
2021-03-22,2021-10-28,0.23366031050682068
