Reference Date,Pair Date,Average Coherence
2020-09-10,2020-09-10,
2020-09-10,2020-09-14,0.4364535212516785
2020-09-10,2020-09-18,
2020-09-10,2020-09-22,
2020-09-10,2020-09-26,
2020-09-10,2020-09-30,0.3827970027923584
2020-09-10,2020-10-04,
2020-09-10,2020-10-08,
2020-09-10,2020-10-12,
2020-09-10,2020-10-16,
2020-09-10,2020-10-20,
2020-09-10,2020-10-24,
2020-09-10,2020-10-28,
2020-09-10,2020-11-01,0.2307702898979187
2020-09-10,2020-11-05,0.23377519845962524
2020-09-10,2020-11-09,0.2294482588768005
2020-09-10,2020-11-13,
2020-09-10,2020-11-17,
2020-09-10,2020-11-21,
2020-09-10,2020-11-25,
2020-09-10,2020-11-29,
2020-09-10,2020-12-03,
2020-09-10,2020-12-07,
2020-09-10,2020-12-11,
2020-09-10,2020-12-15,
2020-09-10,2020-12-19,
2020-09-10,2020-12-23,
2020-09-10,2020-12-27,
2020-09-10,2020-12-31,
2020-09-10,2021-01-04,
2020-09-10,2021-01-08,
2020-09-10,2021-01-12,
2020-09-10,2021-01-16,
2020-09-10,2021-01-20,
2020-09-10,2021-01-24,
2020-09-10,2021-01-28,
2020-09-10,2021-02-01,
2020-09-10,2021-02-05,
2020-09-10,2021-02-09,
2020-09-10,2021-02-13,
2020-09-10,2021-02-17,
2020-09-10,2021-02-21,
2020-09-10,2021-02-25,
2020-09-10,2021-03-01,
2020-09-10,2021-03-05,
2020-09-10,2021-03-09,
2020-09-10,2021-03-13,
2020-09-10,2021-03-17,
2020-09-10,2021-03-21,
2020-09-10,2021-03-25,
2020-09-10,2021-03-29,
2020-09-10,2021-04-02,
2020-09-10,2021-04-06,
2020-09-10,2021-04-10,
2020-09-10,2021-04-14,
2020-09-10,2021-04-18,
2020-09-10,2021-04-22,
2020-09-10,2021-04-26,
2020-09-10,2021-04-30,
2020-09-10,2021-05-04,
2020-09-10,2021-05-08,
2020-09-10,2021-05-12,
2020-09-10,2021-05-16,
2020-09-10,2021-05-20,
2020-09-10,2021-05-24,
2020-09-10,2021-05-28,
