Master,Slave,Average Coherence
2021-03-13,2021-03-21,0.2329723834991455
2021-04-10,2021-04-22,0.2240227311849594
2020-11-01,2020-11-13,0.22292664647102356
2021-04-18,2021-04-26,0.2382257729768753
2022-04-13,2022-04-25,0.23053370416164398
2021-06-21,2021-06-25,0.3167690336704254
2021-02-17,2021-03-09,0.23088370263576508
2021-02-05,2021-02-13,0.24665269255638123
2020-11-09,2020-11-13,0.2589944005012512
2021-04-18,2021-04-22,0.2514697015285492
2021-04-10,2021-04-26,0.22399793565273285
2021-04-30,2022-04-13,0.2210082858800888
2021-04-22,2021-04-30,0.24122759699821472
2021-03-13,2021-03-25,0.2296602725982666
2021-02-05,2021-02-17,0.2431870400905609
2021-01-04,2021-01-08,0.2453017234802246
2021-03-25,2021-04-02,0.23527571558952332
2020-09-10,2020-11-05,0.23377519845962524
2020-11-05,2020-12-03,0.23017513751983643
2021-02-01,2021-02-21,0.23019127547740936
2021-04-02,2021-04-18,0.224315345287323
2020-11-13,2020-11-29,0.23300106823444366
2020-12-19,2021-01-16,0.22678829729557037
2020-11-05,2020-11-21,0.23645994067192078
2021-04-22,2021-06-21,0.240880087018013
2020-12-23,2021-01-04,0.23085087537765503
2020-11-29,2020-12-19,0.22536498308181763
2021-02-01,2021-02-25,0.22786913812160492
2020-09-10,2020-11-01,0.2307702898979187
2021-03-25,2021-04-06,0.23144569993019104
2020-11-21,2020-12-19,0.22679223120212555
2021-04-22,2021-06-25,0.23663565516471863
2020-11-29,2020-12-23,0.22705049812793732
2022-04-01,2022-04-25,0.22600290179252625
2021-01-24,2021-02-01,0.2513912618160248
2021-03-17,2021-03-29,0.22950638830661774
2021-04-02,2021-04-22,0.22380435466766357
2021-03-09,2021-03-25,0.23158042132854462
2021-03-01,2021-03-21,0.22967775166034698
2021-02-13,2021-03-01,0.2313545197248459
2021-06-25,2022-04-25,0.22507087886333466
2021-01-24,2021-02-05,0.23723049461841583
2021-01-16,2021-02-13,0.22673025727272034
2020-11-29,2020-12-27,0.22623181343078613
2020-11-21,2020-12-23,0.22712410986423492
2021-02-13,2021-03-05,0.22902046144008636
2021-03-09,2021-03-21,0.23296211659908295
2021-02-21,2021-03-13,0.22762946784496307
2020-12-03,2020-12-07,0.2373349815607071
2021-04-30,2021-06-21,0.23676808178424835
2021-04-06,2021-04-10,0.25589555501937866
2022-05-07,2022-05-19,0.2510637044906616
2021-03-05,2021-03-13,0.24294312298297882
2020-09-30,2020-11-13,0.22562089562416077
2021-04-10,2021-04-18,0.22345860302448273
2021-02-13,2021-02-21,0.24434946477413177
2020-11-01,2020-11-29,0.22461383044719696
2021-06-21,2022-04-13,0.2218620926141739
2021-03-05,2021-03-17,0.23927807807922363
2020-09-14,2020-11-09,0.22747232019901276
2021-04-06,2021-04-14,0.23990009725093842
2022-04-25,2022-05-31,0.226740762591362
2021-04-30,2021-06-25,0.23382817208766937
2020-11-09,2020-11-29,0.22942116856575012
2021-02-13,2021-02-25,0.23575559258460999
2020-12-27,2021-01-08,0.2363753467798233
2021-01-28,2021-02-17,0.23097264766693115
2020-11-01,2020-11-09,0.22372709214687347
2021-01-04,2021-01-16,0.23313480615615845
2021-02-25,2021-03-05,0.23679324984550476
2020-12-27,2021-01-28,0.22736898064613342
2022-05-19,2022-05-31,0.23800382018089294
2021-03-21,2021-03-29,0.23463505506515503
2021-01-28,2021-02-13,0.23566390573978424
2021-04-26,2022-04-01,0.22223588824272156
2021-02-25,2021-03-01,0.2492225021123886
2022-04-13,2022-05-31,0.22477959096431732
2020-12-03,2020-12-23,0.22954131662845612
2021-06-25,2022-04-01,0.22161608934402466
2020-11-21,2020-12-07,0.2286171168088913
2020-09-14,2020-09-30,0.39355358481407166
2020-11-29,2020-12-03,0.24406059086322784
2020-12-03,2020-12-27,0.22816786170005798
2021-04-02,2021-04-06,0.2658202648162842
2021-03-01,2021-03-05,0.25130921602249146
2020-12-07,2021-01-04,0.22459828853607178
2021-01-08,2021-01-24,0.23067866265773773
2020-11-29,2020-12-07,0.2282722294330597
2020-11-21,2020-12-03,0.2340080291032791
2021-01-16,2021-01-28,0.2316242903470993
2020-12-19,2021-01-08,0.2274075597524643
2020-12-23,2021-01-24,0.22548732161521912
2021-04-14,2021-04-30,0.2251010537147522
2021-06-21,2022-05-07,0.23133018612861633
2021-01-08,2021-02-01,0.22869503498077393
2020-12-03,2020-12-19,0.22915756702423096
2021-02-21,2021-03-09,0.2323780357837677
2021-02-01,2021-02-05,0.3189144730567932
