Master,Slave,Average Coherence
2021-05-22,2021-06-15,0.24902227520942688
2021-05-10,2021-06-03,0.23740461468696594
2021-02-23,2021-05-10,0.2254374474287033
2021-05-06,2021-05-10,0.340032160282135
2021-01-22,2021-01-26,0.3453117609024048
2022-01-25,2022-03-02,0.22468361258506775
2021-03-11,2021-04-16,0.22593756020069122
2021-05-22,2021-12-04,0.22458593547344208
2021-02-19,2021-05-06,0.22389276325702667
2022-01-13,2022-02-06,0.23241178691387177
2021-06-15,2022-01-01,0.2257910966873169
2022-04-03,2022-05-21,0.2265973538160324
2021-01-14,2021-02-19,0.22574330866336823
2021-04-04,2021-05-10,0.2254944145679474
2022-05-09,2022-05-21,0.2684737741947174
2022-02-18,2022-04-15,0.23055154085159302
2022-04-15,2022-04-27,0.23996905982494354
2022-02-18,2022-03-02,0.2467561811208725
2022-04-19,2022-05-21,0.2289937287569046
2022-04-15,2022-04-19,0.30043402314186096
2021-03-11,2021-05-22,0.22680693864822388
2022-01-01,2022-02-06,0.22634372115135193
2022-04-03,2022-04-15,0.23587119579315186
2022-01-25,2022-02-18,0.22716164588928223
2022-03-14,2022-04-03,0.23116163909435272
2021-04-16,2021-05-10,0.23061205446720123
2022-03-14,2022-05-09,0.22536689043045044
2021-05-10,2021-05-22,0.26452159881591797
2021-12-04,2022-01-01,0.23516638576984406
2022-05-21,2022-06-02,0.24349264800548553
2021-01-26,2021-03-11,0.23112152516841888
2022-04-27,2022-05-21,0.22713126242160797
2022-01-01,2022-03-02,0.23927491903305054
2021-05-06,2021-12-04,0.22574789822101593
2021-12-04,2022-01-25,0.22424554824829102
2022-04-15,2022-06-02,0.23237890005111694
2022-01-13,2022-02-18,0.22693203389644623
2021-06-03,2022-01-13,0.22637349367141724
2021-05-06,2021-06-15,0.23838283121585846
2021-01-22,2021-02-23,0.22789229452610016
2021-02-23,2021-04-04,0.23535585403442383
2022-03-14,2022-04-27,0.23636892437934875
2021-02-19,2021-04-16,0.2260700762271881
2021-02-19,2021-03-11,0.22683998942375183
2021-03-11,2021-05-06,0.2308758944272995
2021-02-11,2021-04-16,0.22837930917739868
2022-01-01,2022-01-13,0.22686827182769775
2022-02-06,2022-04-03,0.2260933518409729
2021-01-26,2021-02-11,0.2450205236673355
2021-01-30,2021-02-19,0.23131243884563446
2021-02-11,2021-03-11,0.2299366295337677
2022-01-01,2022-02-18,0.23411476612091064
2022-03-02,2022-04-15,0.22822333872318268
2022-01-13,2022-03-02,0.22653616964817047
2022-02-06,2022-03-14,0.22857579588890076
2022-01-25,2022-02-06,0.23338618874549866
2021-01-14,2021-01-22,0.23519368469715118
2021-06-15,2021-12-04,0.22510911524295807
2021-01-30,2021-02-23,0.22853441536426544
2021-01-14,2021-01-26,0.23831140995025635
2021-05-22,2022-01-01,0.22481288015842438
2022-03-14,2022-04-19,0.2279970794916153
2021-01-26,2021-01-30,0.40951430797576904
2021-06-15,2022-01-25,0.2248886376619339
2021-01-22,2021-02-19,0.23347795009613037
2021-04-16,2021-06-15,0.2283898890018463
2022-04-15,2022-05-09,0.22875531017780304
2021-01-30,2021-04-04,0.22610431909561157
2021-05-10,2022-01-01,0.22719602286815643
2021-01-14,2021-01-30,0.23986013233661652
2022-04-03,2022-04-19,0.22762200236320496
2021-04-04,2021-05-22,0.228348046541214
2021-05-22,2022-01-13,0.22989678382873535
2022-02-06,2022-03-02,0.2279292345046997
2022-03-02,2022-04-03,0.23724889755249023
2022-01-13,2022-03-14,0.2292112112045288
2022-04-19,2022-04-27,0.23530051112174988
2022-04-27,2022-05-09,0.23027659952640533
2021-05-06,2021-05-22,0.26225125789642334
2021-04-16,2021-06-03,0.23375925421714783
2021-06-15,2022-02-06,0.2294243425130844
2021-01-30,2021-03-11,0.23614591360092163
2021-02-11,2021-02-19,0.283637672662735
2021-05-06,2021-06-03,0.23585523664951324
2021-02-19,2021-02-23,0.2503940761089325
2021-04-16,2021-05-22,0.23450525104999542
2021-04-04,2021-04-16,0.233785018324852
2021-02-11,2021-02-23,0.23495900630950928
2022-04-27,2022-06-02,0.22912782430648804
2022-02-06,2022-02-18,0.2391097992658615
2021-12-04,2022-02-06,0.22563759982585907
2022-04-15,2022-05-21,0.2282208949327469
2021-06-03,2022-01-01,0.22425022721290588
2022-02-18,2022-04-19,0.22646647691726685
2022-03-02,2022-03-14,0.24630293250083923
2021-02-23,2021-03-11,0.22983290255069733
2021-04-04,2021-06-03,0.23677052557468414
2022-02-06,2022-04-15,0.2283240705728531
2021-01-14,2021-02-11,0.22951926290988922
2021-02-19,2021-04-04,0.22816354036331177
2021-02-23,2021-04-16,0.23303501307964325
2021-03-11,2021-05-10,0.23612265288829803
2022-04-03,2022-04-27,0.23365487158298492
2021-02-11,2021-04-04,0.22736085951328278
2022-01-01,2022-01-25,0.22480405867099762
2021-06-03,2021-06-15,0.25382211804389954
2022-03-14,2022-04-15,0.2368525117635727
2021-06-03,2021-12-04,0.22405491769313812
2021-01-26,2021-02-23,0.2288266271352768
2022-04-19,2022-06-02,0.22928257286548615
2022-02-18,2022-03-14,0.23464731872081757
2022-03-02,2022-04-19,0.22624368965625763
2021-06-03,2022-01-25,0.22694478929042816
2022-01-25,2022-04-03,0.2247220128774643
2021-04-16,2021-05-06,0.23270229995250702
2022-04-03,2022-05-09,0.2267412692308426
2021-01-22,2021-02-11,0.23169337213039398
2021-12-04,2022-01-13,0.22563794255256653
2022-01-25,2022-03-14,0.22556395828723907
2022-01-13,2022-01-25,0.22856217622756958
2021-12-04,2022-02-18,0.23096072673797607
2021-05-10,2021-12-04,0.22674277424812317
2021-06-15,2022-01-13,0.23541972041130066
2021-02-23,2021-05-06,0.22551506757736206
2021-01-22,2021-01-30,0.2916538417339325
2021-05-22,2021-06-03,0.2753680944442749
2021-05-10,2021-06-15,0.2361876368522644
2021-03-11,2021-04-04,0.22791418433189392
2022-03-02,2022-04-27,0.2293786257505417
2022-02-18,2022-04-03,0.2391413301229477
2022-04-19,2022-05-09,0.22884058952331543
2021-01-30,2021-02-11,0.24569711089134216
2021-04-04,2021-05-06,0.2256104201078415
2021-01-26,2021-02-19,0.2303239107131958
2022-05-09,2022-06-02,0.23455744981765747
