Master,Slave,Average Coherence
2022-05-08,2022-05-20,0.32519420981407166
2022-04-14,2022-04-26,0.25250759720802307
2022-03-13,2022-04-14,0.23584075272083282
2022-04-02,2022-05-20,0.23451778292655945
2022-04-02,2022-06-01,0.23479285836219788
2021-06-14,2022-05-08,0.23305262625217438
2022-03-13,2022-05-20,0.2329595983028412
2021-06-14,2022-04-02,0.22638079524040222
2022-05-08,2022-06-01,0.25528207421302795
2022-04-02,2022-04-14,0.24059796333312988
2021-06-14,2022-04-26,0.22867269814014435
2022-04-26,2022-05-20,0.26362335681915283
2022-04-26,2022-06-01,0.24276742339134216
2022-04-14,2022-05-08,0.236244797706604
2022-03-13,2022-04-26,0.23980440199375153
2022-04-26,2022-05-08,0.3221246898174286
2022-04-14,2022-06-01,0.23101119697093964
2022-04-02,2022-04-26,0.2557617723941803
2022-04-14,2022-05-20,0.23215369880199432
2022-04-02,2022-05-08,0.24141162633895874
2021-06-14,2022-03-13,0.2284533530473709
2021-06-14,2022-04-14,0.22772455215454102
2022-03-13,2022-05-08,0.2360309213399887
2022-05-20,2022-06-01,0.28676366806030273
2022-03-13,2022-04-02,0.2488640695810318
